n_periods_jul,total_return_pct_jul,cagr_pct_jul,sharpe_jul,max_drawdown_pct_jul,win_rate_pct_jul,avg_period_ret_bps_jul,signal,n,direction,side,n_periods_aug,total_return_pct_aug,cagr_pct_aug,sharpe_aug,max_drawdown_pct_aug,win_rate_pct_aug,avg_period_ret_bps_aug,combo_sharpe
206,-32.90958408015891,-99.21622802345524,-2.390681356991788,-52.69004343946837,46.601941747572816,-14.849909947971314,chg_1w,15,momentum,long_only,195,-6.370707486955252,-55.82036190107497,-0.034865364068331565,-32.761973066825824,51.7948717948718,-0.1796770209981255,-2.390681356991788
206,142.7366819614176,4773068.784973519,9.240649121471144,-23.71783584081989,57.28155339805825,46.22377024605456,chg_30m,10,momentum,short_only,195,-24.212872339504766,-96.79528232381726,-2.4054127634803106,-39.42469652457225,52.820512820512825,-11.459673457358683,-2.4054127634803106
206,-17.403735633597194,-90.20068302179548,-2.519877834004494,-34.4637351332097,46.116504854368934,-8.039443561033353,chg_1m,30,momentum,long_only,195,-13.495768880895731,-83.45606219966366,-1.9195059211128105,-22.62490642964663,47.179487179487175,-6.183324831689705,-2.519877834004494
206,-19.7708519586565,-93.11693034826779,-2.5406902992334137,-26.44684656625982,50.0,-9.05065507510358,chg_open_1d,15,reversion,long_short,195,20.487950061660708,910.4233258155359,3.5745550177142826,-15.686780319949122,52.820512820512825,10.63045645588058,-2.5406902992334137
206,-8.406362285140368,-65.58706174542168,-2.6264341542712897,-11.998457557346697,49.029126213592235,-3.974576220367098,chg_5m,30,momentum,long_short,195,-3.1841159031484323,-33.07340974096543,-1.0685497247766693,-9.164609007797663,47.179487179487175,-1.4403926090008081,-2.6264341542712897
206,7.048457391157226,128.74774717940824,1.5211775838888415,-39.88131776148388,53.883495145631066,10.454468036308729,chg_5m,10,momentum,short_only,195,-23.578208090365095,-96.44585107930963,-2.6789394508586812,-40.3412628366414,49.743589743589745,-11.544378629572895,-2.6789394508586812
206,52.2614528666427,16426.814308687728,5.140096547271058,-19.765995745562982,55.33980582524271,22.900356508260348,chg_15m,10,momentum,short_only,195,-24.40664433300348,-96.89549654936907,-2.7092882390809288,-37.358053112640796,51.7948717948718,-11.97993659681204,-2.7092882390809288
206,-12.252681269634403,-79.56483876307468,-2.8316804802173934,-16.022979448504294,50.0,-5.811940318854311,chg_open_1d,30,reversion,long_short,195,10.401657901376549,241.4471332683664,3.1125315688328676,-10.130530319873344,51.28205128205128,5.4435712539948655,-2.8316804802173934
206,-21.80136263280039,-94.95880745520509,-2.8494374758398755,-29.93510711302183,45.63106796116505,-10.308514808595573,chg_1w,30,reversion,long_only,195,-9.866210402675202,-72.44760544673396,-2.0522978810353814,-22.103245098749714,46.15384615384615,-4.694299463588833,-2.8494374758398755
206,-15.55320666696305,-87.1738119200979,-2.9582757466422893,-22.020982000318213,47.57281553398058,-7.42445855089296,chg_30m,20,reversion,long_short,195,8.77978181959682,184.1579678876373,2.367911630378075,-8.777166863368201,49.23076923076923,4.813831049782807,-2.9582757466422893
206,-41.09728965063633,-99.83875180876186,-2.976227786927141,-60.08230021590404,41.74757281553398,-20.454468036308736,chg_5m,10,reversion,long_only,195,-1.3517137333988738,-15.539867591917034,0.35838194246570226,-36.58473657679009,47.179487179487175,1.5443786295728883,-2.976227786927141
206,20.16272562369601,831.2811951935936,2.8092336817089323,-18.626254286358957,53.398058252427184,10.761767292358064,chg_1m,20,momentum,short_only,195,-15.58683589319605,-87.788848902068,-3.0504040593716253,-19.394829384706803,46.666666666666664,-7.883277585880061,-3.0504040593716253
206,-19.874004838955383,-93.22367418851897,-3.1159143063366432,-31.97010849058105,45.14563106796117,-9.59468087898821,chg_15m,30,reversion,long_only,195,-0.07853320639561456,-0.9702358252447585,0.3150799522169576,-14.084429017173461,54.35897435897436,0.8570598376938802,-3.1159143063366432
